date,home_team,away_team,home_score,away_score
2022-10-11,Celtic FC,RB Leipzig,0,2
2022-10-11,Shakhtar Donetsk,Real Madrid,1,1
2022-10-25,Celtic FC,Shakhtar Donetsk,1,1
2022-10-25,RB Leipzig,Real Madrid,3,2
2022-11-02,Real Madrid,Celtic FC,5,1
2022-11-02,Shakhtar Donetsk,RB Leipzig,0,4
2022-09-06,Borussia Dortmund,FC København,3,0
2022-09-06,Sevilla FC,Manchester City,0,4
2022-09-14,Manchester City,Borussia Dortmund,2,1
2022-09-14,FC København,Sevilla FC,0,0
2022-10-05,Sevilla FC,Borussia Dortmund,1,4
2022-10-05,Manchester City,FC København,5,0
2022-10-11,FC København,Manchester City,0,0
2022-10-11,Borussia Dortmund,Sevilla FC,1,1
2022-10-25,Sevilla FC,FC København,3,0
2022-10-25,Borussia Dortmund,Manchester City,0,0
2022-11-02,FC København,Borussia Dortmund,1,1
2022-11-02,Manchester City,Sevilla FC,3,1
2022-09-06,Paris Saint-Germain,Juventus,2,1
2022-09-06,SL Benfica,Maccabi Haifa,2,0
2022-09-14,Juventus,SL Benfica,1,2
2022-09-14,Maccabi Haifa,Paris Saint-Germain,1,3
2022-10-05,Juventus,Maccabi Haifa,3,1
2022-10-05,SL Benfica,Paris Saint-Germain,1,1
2022-10-11,Maccabi Haifa,Juventus,2,0
2022-10-11,Paris Saint-Germain,SL Benfica,1,1
2022-10-25,SL Benfica,Juventus,4,3
2022-10-25,Paris Saint-Germain,Maccabi Haifa,7,2
2022-11-02,Juventus,Paris Saint-Germain,1,2
2022-11-02,Maccabi Haifa,SL Benfica,1,6
2023-02-14,AC Milan,Tottenham Hotspur,1,0
2023-02-14,Paris Saint-Germain,Bayern München,0,1
2023-02-15,Club Brugge KV,SL Benfica,0,2
2023-02-15,Borussia Dortmund,Chelsea FC,1,0
2023-02-21,Liverpool FC,Real Madrid,2,5
2023-02-21,Eintracht Frankfurt,SSC Napoli,0,2
2023-02-22,RB Leipzig,Manchester City,1,1
2023-02-22,Inter,FC Porto,1,0
2023-03-07,SL Benfica,Club Brugge KV,5,1
2023-03-07,Chelsea FC,Borussia Dortmund,2,0
2023-03-08,Bayern München,Paris Saint-Germain,2,0
2023-03-08,Tottenham Hotspur,AC Milan,0,0
2023-03-14,Manchester City,RB Leipzig,7,0
2023-03-14,FC Porto,Inter,0,0
2023-03-15,Real Madrid,Liverpool FC,1,0
2023-03-15,SSC Napoli,Eintracht Frankfurt,3,0
2023-04-11,SL Benfica,Inter,0,2
2023-04-11,Manchester City,Bayern München,3,0
2023-04-12,Real Madrid,Chelsea FC,2,0
2023-04-12,AC Milan,SSC Napoli,1,0
2023-04-18,Chelsea FC,Real Madrid,0,2
2023-04-18,SSC Napoli,AC Milan,1,1
2023-04-19,Inter,SL Benfica,3,3
2023-04-19,Bayern München,Manchester City,1,1
2023-05-09,Real Madrid,Manchester City,1,1
2023-05-10,AC Milan,Inter,0,2
2023-05-16,Inter,AC Milan,1,0
2023-05-17,Manchester City,Real Madrid,4,0
2023-06-10,Manchester City,Inter,1,0
