date,home_team,away_team,home_score,away_score
2022-09-07,AFC Ajax,Rangers FC,4,0
2022-09-07,SSC Napoli,Liverpool FC,4,1
2022-09-13,Liverpool FC,AFC Ajax,2,1
2022-09-14,Rangers FC,SSC Napoli,0,3
2022-10-04,AFC Ajax,SSC Napoli,1,6
2022-10-04,Liverpool FC,Rangers FC,2,0
2022-10-12,SSC Napoli,AFC Ajax,4,2
2022-10-12,Rangers FC,Liverpool FC,1,7
2022-10-26,AFC Ajax,Liverpool FC,0,3
2022-10-26,SSC Napoli,Rangers FC,3,0
2022-11-01,Rangers FC,AFC Ajax,1,3
2022-11-01,Liverpool FC,SSC Napoli,2,0
2022-09-07,Atlético Madrid,FC Porto,2,1
2022-09-07,Club Brugge KV,Bayer Leverkusen,1,0
2022-09-13,Bayer Leverkusen,Atlético Madrid,2,0
2022-09-13,FC Porto,Club Brugge KV,0,4
2022-10-04,Club Brugge KV,Atlético Madrid,2,0
2022-10-04,FC Porto,Bayer Leverkusen,2,0
2022-10-12,Atlético Madrid,Club Brugge KV,0,0
2022-10-12,Bayer Leverkusen,FC Porto,0,3
2022-10-26,Club Brugge KV,FC Porto,0,4
2022-10-26,Atlético Madrid,Bayer Leverkusen,2,2
2022-11-01,FC Porto,Atlético Madrid,2,1
2022-11-01,Bayer Leverkusen,Club Brugge KV,0,0
2022-09-07,Inter,Bayern München,0,2
2022-09-07,FC Barcelona,Viktoria Plzeň,5,1
2022-09-13,Viktoria Plzeň,Inter,0,2
2022-09-13,Bayern München,FC Barcelona,2,0
2022-10-04,Bayern München,Viktoria Plzeň,5,0
2022-10-04,Inter,FC Barcelona,1,0
2022-10-12,Viktoria Plzeň,Bayern München,2,4
2022-10-12,FC Barcelona,Inter,3,3
2022-10-26,Inter,Viktoria Plzeň,4,0
2022-10-26,FC Barcelona,Bayern München,0,3
2022-11-01,Bayern München,Inter,2,0
2022-11-01,Viktoria Plzeň,FC Barcelona,2,4
2022-09-07,Eintracht Frankfurt,Sporting CP,0,3
2022-09-07,Tottenham Hotspur,Olympique Marseille,2,0
2022-09-13,Sporting CP,Tottenham Hotspur,2,0
2022-09-13,Olympique Marseille,Eintracht Frankfurt,0,1
2022-10-04,Olympique Marseille,Sporting CP,4,1
2022-10-04,Eintracht Frankfurt,Tottenham Hotspur,0,0
2022-10-12,Tottenham Hotspur,Eintracht Frankfurt,3,2
2022-10-12,Sporting CP,Olympique Marseille,0,2
2022-10-26,Eintracht Frankfurt,Olympique Marseille,2,1
2022-10-26,Tottenham Hotspur,Sporting CP,1,1
2022-11-01,Sporting CP,Eintracht Frankfurt,1,2
2022-11-01,Olympique Marseille,Tottenham Hotspur,1,2
2022-09-06,Dinamo Zagreb,Chelsea FC,1,0
2022-09-06,RB Salzburg,AC Milan,1,1
2022-09-14,AC Milan,Dinamo Zagreb,3,1
2022-09-14,Chelsea FC,RB Salzburg,1,1
2022-10-05,RB Salzburg,Dinamo Zagreb,1,0
2022-10-05,Chelsea FC,AC Milan,3,0
2022-10-11,AC Milan,Chelsea FC,0,2
2022-10-11,Dinamo Zagreb,RB Salzburg,1,1
2022-10-25,RB Salzburg,Chelsea FC,1,2
2022-10-25,Dinamo Zagreb,AC Milan,0,4
2022-11-02,AC Milan,RB Salzburg,4,0
2022-11-02,Chelsea FC,Dinamo Zagreb,2,1
2022-09-06,Celtic FC,Real Madrid,0,3
2022-09-06,RB Leipzig,Shakhtar Donetsk,1,4
2022-09-14,Shakhtar Donetsk,Celtic FC,1,1
2022-09-14,Real Madrid,RB Leipzig,2,0
2022-10-05,RB Leipzig,Celtic FC,3,1
2022-10-05,Real Madrid,Shakhtar Donetsk,2,1
