date,home_team,away_team,home_score,away_score
2014-09-16,Olympiakos Piraeus,Atlético Madrid,3,2
2014-09-16,Juventus,Malmö FF,2,0
2014-10-01,Atlético Madrid,Juventus,1,0
2014-10-01,Malmö FF,Olympiakos Piraeus,2,0
2014-10-22,Atlético Madrid,Malmö FF,5,0
2014-10-22,Olympiakos Piraeus,Juventus,1,0
2014-11-04,Malmö FF,Atlético Madrid,0,2
2014-11-04,Juventus,Olympiakos Piraeus,3,2
2014-11-26,Atlético Madrid,Olympiakos Piraeus,4,0
2014-11-26,Malmö FF,Juventus,0,2
2014-12-09,Juventus,Atlético Madrid,0,0
2014-12-09,Olympiakos Piraeus,Malmö FF,4,2
2014-09-16,Real Madrid,FC Basel 1893,5,1
2014-09-16,Liverpool FC,PFC Ludogorets Razgrad,2,1
2014-10-01,FC Basel 1893,Liverpool FC,1,0
2014-10-01,PFC Ludogorets Razgrad,Real Madrid,1,2
2014-10-22,PFC Ludogorets Razgrad,FC Basel 1893,1,0
2014-10-22,Liverpool FC,Real Madrid,0,3
2014-11-04,FC Basel 1893,PFC Ludogorets Razgrad,4,0
2014-11-04,Real Madrid,Liverpool FC,1,0
2014-11-26,FC Basel 1893,Real Madrid,0,1
2014-11-26,PFC Ludogorets Razgrad,Liverpool FC,2,2
2014-12-09,Liverpool FC,FC Basel 1893,1,1
2014-12-09,Real Madrid,PFC Ludogorets Razgrad,4,0
2014-09-16,AS Monaco,Bayer Leverkusen,1,0
2014-09-16,SL Benfica,Zenit St. Petersburg,0,2
2014-10-01,Zenit St. Petersburg,AS Monaco,0,0
2014-10-01,Bayer Leverkusen,SL Benfica,3,1
2014-10-22,AS Monaco,SL Benfica,0,0
2014-10-22,Bayer Leverkusen,Zenit St. Petersburg,2,0
2014-11-04,Zenit St. Petersburg,Bayer Leverkusen,1,2
2014-11-04,SL Benfica,AS Monaco,1,0
2014-11-26,Zenit St. Petersburg,SL Benfica,1,0
2014-11-26,Bayer Leverkusen,AS Monaco,0,1
2014-12-09,AS Monaco,Zenit St. Petersburg,2,0
2014-12-09,SL Benfica,Bayer Leverkusen,0,0
2014-09-16,Borussia Dortmund,Arsenal FC,2,0
2014-09-16,Galatasaray,RSC Anderlecht,1,1
