date,home_team,away_team,home_score,away_score
2011-09-14,Manchester City,SSC Napoli,1,1
2011-09-14,Villarreal CF,Bayern München,0,2
2011-09-27,Bayern München,Manchester City,2,0
2011-09-27,SSC Napoli,Villarreal CF,2,0
2011-10-18,Manchester City,Villarreal CF,2,1
2011-10-18,SSC Napoli,Bayern München,1,1
2011-11-02,Bayern München,SSC Napoli,3,2
2011-11-02,Villarreal CF,Manchester City,0,3
2011-11-22,Bayern München,Villarreal CF,3,1
2011-11-22,SSC Napoli,Manchester City,2,1
2011-12-07,Manchester City,Bayern München,2,0
2011-12-07,Villarreal CF,SSC Napoli,0,2
2011-09-14,Lille OSC,CSKA Moskva,2,2
2011-09-14,Inter,Trabzonspor,0,1
2011-09-27,CSKA Moskva,Inter,2,3
2011-09-27,Trabzonspor,Lille OSC,1,1
2011-10-18,CSKA Moskva,Trabzonspor,3,0
2011-10-18,Lille OSC,Inter,0,1
2011-11-02,Trabzonspor,CSKA Moskva,0,0
2011-11-02,Inter,Lille OSC,2,1
2011-11-22,CSKA Moskva,Lille OSC,0,2
2011-11-22,Trabzonspor,Inter,1,1
2011-12-07,Inter,CSKA Moskva,1,2
2011-12-07,Lille OSC,Trabzonspor,0,0
2011-09-14,FC Basel 1893,Oţelul Galaţi,2,1
2011-09-14,SL Benfica,Manchester United,1,1
2011-09-27,Manchester United,FC Basel 1893,3,3
2011-09-27,Oţelul Galaţi,SL Benfica,0,1
2011-10-18,FC Basel 1893,SL Benfica,0,2
2011-10-18,Oţelul Galaţi,Manchester United,0,2
2011-11-02,Manchester United,Oţelul Galaţi,2,0
2011-11-02,SL Benfica,FC Basel 1893,1,1
2011-11-22,Manchester United,SL Benfica,2,2
2011-11-22,Oţelul Galaţi,FC Basel 1893,2,3
2011-12-07,FC Basel 1893,Manchester United,2,1
2011-12-07,SL Benfica,Oţelul Galaţi,1,0
2011-09-14,AFC Ajax,Olympique Lyonnais,0,0
2011-09-14,Dinamo Zagreb,Real Madrid,0,1
2011-09-27,Olympique Lyonnais,Dinamo Zagreb,2,0
2011-09-27,Real Madrid,AFC Ajax,3,0
2011-10-18,Dinamo Zagreb,AFC Ajax,0,2
2011-10-18,Real Madrid,Olympique Lyonnais,4,0
2011-11-02,AFC Ajax,Dinamo Zagreb,4,0
2011-11-02,Olympique Lyonnais,Real Madrid,0,2
2011-11-22,Olympique Lyonnais,AFC Ajax,0,0
2011-11-22,Real Madrid,Dinamo Zagreb,6,2
2011-12-07,AFC Ajax,Real Madrid,0,3
2011-12-07,Dinamo Zagreb,Olympique Lyonnais,1,7
2011-09-13,Chelsea FC,Bayer Leverkusen,2,0
2011-09-13,KRC Genk,Valencia CF,0,0
