date,home_team,away_team,home_score,away_score
2015-09-15,Real Madrid,Shakhtar Donetsk,4,0
2015-09-15,Paris Saint-Germain,Malmö FF,2,0
2015-09-30,Malmö FF,Real Madrid,0,2
2015-09-30,Shakhtar Donetsk,Paris Saint-Germain,0,3
2015-10-21,Paris Saint-Germain,Real Madrid,0,0
2015-10-21,Malmö FF,Shakhtar Donetsk,1,0
2015-11-03,Real Madrid,Paris Saint-Germain,1,0
2015-11-03,Shakhtar Donetsk,Malmö FF,4,0
2015-11-25,Malmö FF,Paris Saint-Germain,0,5
2015-11-25,Shakhtar Donetsk,Real Madrid,3,4
2015-12-08,Paris Saint-Germain,Shakhtar Donetsk,2,0
2015-12-08,Real Madrid,Malmö FF,8,0
2015-09-15,VfL Wolfsburg,CSKA Moskva,1,0
2015-09-15,PSV Eindhoven,Manchester United,2,1
2015-09-30,CSKA Moskva,PSV Eindhoven,3,2
2015-09-30,Manchester United,VfL Wolfsburg,2,1
2015-10-21,CSKA Moskva,Manchester United,1,1
2015-10-21,VfL Wolfsburg,PSV Eindhoven,2,0
2015-11-03,PSV Eindhoven,VfL Wolfsburg,2,0
2015-11-03,Manchester United,CSKA Moskva,1,0
2015-11-25,CSKA Moskva,VfL Wolfsburg,0,2
2015-11-25,Manchester United,PSV Eindhoven,0,0
2015-12-08,VfL Wolfsburg,Manchester United,3,2
2015-12-08,PSV Eindhoven,CSKA Moskva,2,1
2015-09-15,SL Benfica,FK Astana,2,0
2015-09-15,Galatasaray,Atlético Madrid,0,2
2015-09-30,FK Astana,Galatasaray,2,2
2015-09-30,Atlético Madrid,SL Benfica,1,2
2015-10-21,Galatasaray,SL Benfica,2,1
2015-10-21,Atlético Madrid,FK Astana,4,0
2015-11-03,FK Astana,Atlético Madrid,0,0
2015-11-03,SL Benfica,Galatasaray,2,1
2015-11-25,FK Astana,SL Benfica,2,2
2015-11-25,Atlético Madrid,Galatasaray,2,0
2015-12-08,Galatasaray,FK Astana,1,1
2015-12-08,SL Benfica,Atlético Madrid,1,2
2015-09-15,Sevilla FC,Bor. Mönchengladbach,3,0
2015-09-15,Manchester City,Juventus,1,2
2015-09-30,Juventus,Sevilla FC,2,0
2015-09-30,Bor. Mönchengladbach,Manchester City,1,2
2015-10-21,Manchester City,Sevilla FC,2,1
2015-10-21,Juventus,Bor. Mönchengladbach,0,0
2015-11-03,Bor. Mönchengladbach,Juventus,1,1
2015-11-03,Sevilla FC,Manchester City,1,3
2015-11-25,Juventus,Manchester City,1,0
2015-11-25,Bor. Mönchengladbach,Sevilla FC,4,2
2015-12-08,Manchester City,Bor. Mönchengladbach,4,2
2015-12-08,Sevilla FC,Juventus,1,0
2015-09-16,AS Roma,FC Barcelona,1,1
2015-09-16,Bayer Leverkusen,BATE Borisov,4,1
2015-09-29,FC Barcelona,Bayer Leverkusen,2,1
2015-09-29,BATE Borisov,AS Roma,3,2
2015-10-20,BATE Borisov,FC Barcelona,0,2
2015-10-20,Bayer Leverkusen,AS Roma,4,4
2015-11-04,AS Roma,Bayer Leverkusen,3,2
2015-11-04,FC Barcelona,BATE Borisov,3,0
2015-11-24,BATE Borisov,Bayer Leverkusen,1,1
