date,home_team,away_team,home_score,away_score
2021-09-15,Manchester City,RB Leipzig,6,3
2021-09-15,Club Brugge KV,Paris Saint-Germain,1,1
2021-09-28,Paris Saint-Germain,Manchester City,2,0
2021-09-28,RB Leipzig,Club Brugge KV,1,2
2021-10-19,Club Brugge KV,Manchester City,1,5
2021-10-19,Paris Saint-Germain,RB Leipzig,3,2
2021-11-03,RB Leipzig,Paris Saint-Germain,2,2
2021-11-03,Manchester City,Club Brugge KV,4,1
2021-11-24,Manchester City,Paris Saint-Germain,2,1
2021-11-24,Club Brugge KV,RB Leipzig,0,5
2021-12-07,RB Leipzig,Manchester City,2,1
2021-12-07,Paris Saint-Germain,Club Brugge KV,4,1
2021-09-15,Atlético Madrid,FC Porto,0,0
2021-09-15,Liverpool FC,AC Milan,3,2
2021-09-28,FC Porto,Liverpool FC,1,5
2021-09-28,AC Milan,Atlético Madrid,1,2
2021-10-19,Atlético Madrid,Liverpool FC,2,3
2021-10-19,FC Porto,AC Milan,1,0
2021-11-03,AC Milan,FC Porto,1,1
2021-11-03,Liverpool FC,Atlético Madrid,2,0
2021-11-24,Liverpool FC,FC Porto,2,0
2021-11-24,Atlético Madrid,AC Milan,0,1
2021-12-07,FC Porto,Atlético Madrid,1,3
2021-12-07,AC Milan,Liverpool FC,1,2
2021-09-15,Beşiktaş,Borussia Dortmund,1,2
2021-09-15,Sporting CP,AFC Ajax,1,5
2021-09-28,AFC Ajax,Beşiktaş,2,0
2021-09-28,Borussia Dortmund,Sporting CP,1,0
2021-10-19,Beşiktaş,Sporting CP,1,4
2021-10-19,AFC Ajax,Borussia Dortmund,4,0
2021-11-03,Borussia Dortmund,AFC Ajax,1,3
2021-11-03,Sporting CP,Beşiktaş,4,0
2021-11-24,Beşiktaş,AFC Ajax,1,2
2021-11-24,Sporting CP,Borussia Dortmund,3,1
2021-12-07,AFC Ajax,Sporting CP,4,2
2021-12-07,Borussia Dortmund,Beşiktaş,5,0
2021-09-15,FC Sheriff,Shakhtar Donetsk,2,0
2021-09-15,Inter,Real Madrid,0,1
2021-09-28,Shakhtar Donetsk,Inter,0,0
2021-09-28,Real Madrid,FC Sheriff,1,2
2021-10-19,Shakhtar Donetsk,Real Madrid,0,5
2021-10-19,Inter,FC Sheriff,3,1
2021-11-03,Real Madrid,Shakhtar Donetsk,2,1
2021-11-03,FC Sheriff,Inter,1,3
2021-11-24,Inter,Shakhtar Donetsk,2,0
2021-11-24,FC Sheriff,Real Madrid,0,3
2021-12-07,Real Madrid,Inter,2,0
2021-12-07,Shakhtar Donetsk,FC Sheriff,1,1
2021-09-14,FC Barcelona,Bayern München,0,3
2021-09-14,Dinamo Kiev,SL Benfica,0,0
2021-09-29,SL Benfica,FC Barcelona,3,0
2021-09-29,Bayern München,Dinamo Kiev,5,0
2021-10-20,FC Barcelona,Dinamo Kiev,1,0
2021-10-20,SL Benfica,Bayern München,0,4
2021-11-02,Bayern München,SL Benfica,5,2
2021-11-02,Dinamo Kiev,FC Barcelona,0,1
2021-11-23,Dinamo Kiev,Bayern München,1,2
2021-11-23,FC Barcelona,SL Benfica,0,0
2021-12-08,Bayern München,FC Barcelona,3,0
2021-12-08,SL Benfica,Dinamo Kiev,2,0
2021-09-14,BSC Young Boys,Manchester United,2,1
2021-09-14,Villarreal CF,Atalanta,2,2
2021-09-29,Atalanta,BSC Young Boys,1,0
2021-09-29,Manchester United,Villarreal CF,2,1
2021-10-20,Manchester United,Atalanta,3,2
2021-10-20,BSC Young Boys,Villarreal CF,1,4
2021-11-02,Atalanta,Manchester United,2,2
2021-11-02,Villarreal CF,BSC Young Boys,2,0
2021-11-23,Villarreal CF,Manchester United,0,2
2021-11-23,BSC Young Boys,Atalanta,3,3
2021-12-08,Manchester United,BSC Young Boys,1,1
2021-12-09,Atalanta,Villarreal CF,2,3
2021-09-14,Sevilla FC,RB Salzburg,1,1
2021-09-14,Lille OSC,VfL Wolfsburg,0,0
2021-09-29,RB Salzburg,Lille OSC,2,1
2021-09-29,VfL Wolfsburg,Sevilla FC,1,1
2021-10-20,RB Salzburg,VfL Wolfsburg,3,1
2021-10-20,Lille OSC,Sevilla FC,0,0
2021-11-02,VfL Wolfsburg,RB Salzburg,2,1
2021-11-02,Sevilla FC,Lille OSC,1,2
2021-11-23,Lille OSC,RB Salzburg,1,0
2021-11-23,Sevilla FC,VfL Wolfsburg,2,0
2021-12-08,RB Salzburg,Sevilla FC,1,0
2021-12-08,VfL Wolfsburg,Lille OSC,1,3
2021-09-14,Chelsea FC,Zenit St. Petersburg,1,0
2021-09-14,Malmö FF,Juventus,0,3
2021-09-29,Zenit St. Petersburg,Malmö FF,4,0
2021-09-29,Juventus,Chelsea FC,1,0
2021-10-20,Zenit St. Petersburg,Juventus,0,1
2021-10-20,Chelsea FC,Malmö FF,4,0
2021-11-02,Malmö FF,Chelsea FC,0,1
2021-11-02,Juventus,Zenit St. Petersburg,4,2
2021-11-23,Chelsea FC,Juventus,4,0
2021-11-23,Malmö FF,Zenit St. Petersburg,1,1
2021-12-08,Zenit St. Petersburg,Chelsea FC,3,3
2021-12-08,Juventus,Malmö FF,1,0
2022-02-15,Sporting CP,Manchester City,0,5
2022-02-15,Paris Saint-Germain,Real Madrid,1,0
2022-02-16,RB Salzburg,Bayern München,1,1
2022-02-16,Inter,Liverpool FC,0,2
2022-02-22,Chelsea FC,Lille OSC,2,0
2022-02-22,Villarreal CF,Juventus,1,1
2022-02-23,SL Benfica,AFC Ajax,2,2
2022-02-23,Atlético Madrid,Manchester United,1,1
2022-03-08,Bayern München,RB Salzburg,7,1
2022-03-08,Liverpool FC,Inter,0,1
2022-03-09,Manchester City,Sporting CP,0,0
2022-03-09,Real Madrid,Paris Saint-Germain,3,1
2022-03-15,AFC Ajax,SL Benfica,0,1
2022-03-15,Manchester United,Atlético Madrid,0,1
2022-03-16,Lille OSC,Chelsea FC,1,2
2022-03-16,Juventus,Villarreal CF,0,3
2022-04-05,Manchester City,Atlético Madrid,1,0
2022-04-05,SL Benfica,Liverpool FC,1,3
2022-04-06,Chelsea FC,Real Madrid,1,3
2022-04-06,Villarreal CF,Bayern München,1,0
2022-04-12,Real Madrid,Chelsea FC,2,3
2022-04-12,Bayern München,Villarreal CF,1,1
2022-04-13,Atlético Madrid,Manchester City,0,0
2022-04-13,Liverpool FC,SL Benfica,3,3
2022-04-26,Manchester City,Real Madrid,4,3
2022-04-27,Liverpool FC,Villarreal CF,2,0
2022-05-03,Villarreal CF,Liverpool FC,2,3
2022-05-04,Real Madrid,Manchester City,3,1
2022-05-28,Liverpool FC,Real Madrid,0,1
