date,home_team,away_team,home_goals,away_goals,tournament,stage,round,group,status,winner,neutral
2018-06-26,Nigeria,Argentina,1,2,FIFA World Cup,group,Matchday 13,Group D,finished,away,TRUE
2018-06-26,Iceland,Croatia,1,2,FIFA World Cup,group,Matchday 13,Group D,finished,away,TRUE
2018-06-17,Costa Rica,Serbia,0,1,FIFA World Cup,group,Matchday 4,Group E,finished,away,TRUE
2018-06-17,Brazil,Switzerland,1,1,FIFA World Cup,group,Matchday 4,Group E,finished,draw,TRUE
2018-06-22,Brazil,Costa Rica,2,0,FIFA World Cup,group,Matchday 9,Group E,finished,home,TRUE
2018-06-22,Serbia,Switzerland,1,2,FIFA World Cup,group,Matchday 9,Group E,finished,away,TRUE
2018-06-27,Serbia,Brazil,0,2,FIFA World Cup,group,Matchday 14,Group E,finished,away,TRUE
2018-06-27,Switzerland,Costa Rica,2,2,FIFA World Cup,group,Matchday 14,Group E,finished,draw,TRUE
2018-06-17,Germany,Mexico,0,1,FIFA World Cup,group,Matchday 4,Group F,finished,away,TRUE
2018-06-18,Sweden,South Korea,1,0,FIFA World Cup,group,Matchday 5,Group F,finished,home,TRUE
2018-06-23,South Korea,Mexico,1,2,FIFA World Cup,group,Matchday 10,Group F,finished,away,TRUE
2018-06-23,Germany,Sweden,2,1,FIFA World Cup,group,Matchday 10,Group F,finished,home,TRUE
2018-06-27,South Korea,Germany,2,0,FIFA World Cup,group,Matchday 14,Group F,finished,home,TRUE
2018-06-27,Mexico,Sweden,0,3,FIFA World Cup,group,Matchday 14,Group F,finished,away,TRUE
2018-06-18,Belgium,Panama,3,0,FIFA World Cup,group,Matchday 5,Group G,finished,home,TRUE
2018-06-18,Tunisia,England,1,2,FIFA World Cup,group,Matchday 5,Group G,finished,away,TRUE
2018-06-23,Belgium,Tunisia,5,2,FIFA World Cup,group,Matchday 10,Group G,finished,home,TRUE
2018-06-24,England,Panama,6,1,FIFA World Cup,group,Matchday 11,Group G,finished,home,TRUE
2018-06-28,England,Belgium,0,1,FIFA World Cup,group,Matchday 15,Group G,finished,away,TRUE
2018-06-28,Panama,Tunisia,1,2,FIFA World Cup,group,Matchday 15,Group G,finished,away,TRUE
2018-06-19,Colombia,Japan,1,2,FIFA World Cup,group,Matchday 6,Group H,finished,away,TRUE
2018-06-19,Poland,Senegal,1,2,FIFA World Cup,group,Matchday 6,Group H,finished,away,TRUE
2018-06-24,Japan,Senegal,2,2,FIFA World Cup,group,Matchday 11,Group H,finished,draw,TRUE
2018-06-24,Poland,Colombia,0,3,FIFA World Cup,group,Matchday 11,Group H,finished,away,TRUE
2018-06-28,Japan,Poland,0,1,FIFA World Cup,group,Matchday 15,Group H,finished,away,TRUE
2018-06-28,Senegal,Colombia,0,1,FIFA World Cup,group,Matchday 15,Group H,finished,away,TRUE
2018-06-30,France,Argentina,4,3,FIFA World Cup,knockout,Round of 16,,finished,home,TRUE
2018-06-30,Uruguay,Portugal,2,1,FIFA World Cup,knockout,Round of 16,,finished,home,TRUE
2018-07-01,Spain,Russia,1,1,FIFA World Cup,knockout,Round of 16,,finished,away,TRUE
2018-07-01,Croatia,Denmark,1,1,FIFA World Cup,knockout,Round of 16,,finished,home,TRUE
2018-07-02,Brazil,Mexico,2,0,FIFA World Cup,knockout,Round of 16,,finished,home,TRUE
2018-07-02,Belgium,Japan,3,2,FIFA World Cup,knockout,Round of 16,,finished,home,TRUE
2018-07-03,Sweden,Switzerland,1,0,FIFA World Cup,knockout,Round of 16,,finished,home,TRUE
2018-07-03,Colombia,England,1,1,FIFA World Cup,knockout,Round of 16,,finished,away,TRUE
2018-07-06,Uruguay,France,0,2,FIFA World Cup,knockout,Quarter-finals,,finished,away,TRUE
2018-07-06,Brazil,Belgium,1,2,FIFA World Cup,knockout,Quarter-finals,,finished,away,TRUE
2018-07-07,Sweden,England,0,2,FIFA World Cup,knockout,Quarter-finals,,finished,away,TRUE
2018-07-07,Russia,Croatia,1,1,FIFA World Cup,knockout,Quarter-finals,,finished,away,TRUE
2018-07-10,France,Belgium,1,0,FIFA World Cup,knockout,Semi-finals,,finished,home,TRUE
2018-07-11,Croatia,England,1,1,FIFA World Cup,knockout,Semi-finals,,finished,draw,TRUE
2018-07-14,Belgium,England,2,0,FIFA World Cup,knockout,Match for third place,,finished,home,TRUE
2018-07-15,France,Croatia,4,2,FIFA World Cup,knockout,Final,,finished,home,TRUE
