date,home_team,away_team,home_goals,away_goals,tournament,stage,round,group,status,winner,neutral
2018-06-14,Russia,Saudi Arabia,5,0,FIFA World Cup,group,Matchday 1,Group A,finished,home,TRUE
2018-06-15,Egypt,Uruguay,0,1,FIFA World Cup,group,Matchday 2,Group A,finished,away,TRUE
2018-06-19,Russia,Egypt,3,1,FIFA World Cup,group,Matchday 6,Group A,finished,home,TRUE
2018-06-20,Uruguay,Saudi Arabia,1,0,FIFA World Cup,group,Matchday 7,Group A,finished,home,TRUE
2018-06-25,Uruguay,Russia,3,0,FIFA World Cup,group,Matchday 12,Group A,finished,home,TRUE
2018-06-25,Saudi Arabia,Egypt,2,1,FIFA World Cup,group,Matchday 12,Group A,finished,home,TRUE
2018-06-15,Morocco,Iran,0,1,FIFA World Cup,group,Matchday 2,Group B,finished,away,TRUE
2018-06-15,Portugal,Spain,3,3,FIFA World Cup,group,Matchday 2,Group B,finished,draw,TRUE
2018-06-20,Portugal,Morocco,1,0,FIFA World Cup,group,Matchday 7,Group B,finished,home,TRUE
2018-06-20,Iran,Spain,0,1,FIFA World Cup,group,Matchday 7,Group B,finished,away,TRUE
2018-06-25,Iran,Portugal,1,1,FIFA World Cup,group,Matchday 12,Group B,finished,draw,TRUE
2018-06-25,Spain,Morocco,2,2,FIFA World Cup,group,Matchday 12,Group B,finished,draw,TRUE
2018-06-16,France,Australia,2,1,FIFA World Cup,group,Matchday 3,Group C,finished,home,TRUE
2018-06-16,Peru,Denmark,0,1,FIFA World Cup,group,Matchday 3,Group C,finished,away,TRUE
2018-06-21,Denmark,Australia,1,1,FIFA World Cup,group,Matchday 8,Group C,finished,draw,TRUE
2018-06-21,France,Peru,1,0,FIFA World Cup,group,Matchday 8,Group C,finished,home,TRUE
2018-06-26,Denmark,France,0,0,FIFA World Cup,group,Matchday 13,Group C,finished,draw,TRUE
2018-06-26,Australia,Peru,0,2,FIFA World Cup,group,Matchday 13,Group C,finished,away,TRUE
2018-06-16,Argentina,Iceland,1,1,FIFA World Cup,group,Matchday 3,Group D,finished,draw,TRUE
2018-06-16,Croatia,Nigeria,2,0,FIFA World Cup,group,Matchday 3,Group D,finished,home,TRUE
2018-06-21,Argentina,Croatia,0,3,FIFA World Cup,group,Matchday 8,Group D,finished,away,TRUE
2018-06-22,Nigeria,Iceland,2,0,FIFA World Cup,group,Matchday 9,Group D,finished,home,TRUE
